t,motFRTor,motRRTor,motFLTor,motRLTor,dx,q1,ddx
0.048,-2.84E-12,-3.02E-11,-7.10E-11,1.38E-11,1.06E-13,1.03E-16,1.7265E-10
0.049,-1.11E-11,1.49E-11,-1.66E-11,2.37E-11,-1.58E-15,7.51E-17,-1.07E-10
0.05,-1.67E-12,-3.20E-12,4.63E-11,-4.68E-11,-3.88E-14,9.40E-17,-3.72E-11
0.051,2.25E-11,-1.86E-11,-2.04E-11,8.67E-12,-2.96E-14,6.62E-17,9.15794E-12
0.052,-4.83E-11,-2.34E-11,4.66E-11,7.74E-11,5.53E-14,8.49E-17,8.49357E-11
0.053,6.39E-11,8.34E-11,-9.35E-11,-1.24E-10,5.83E-15,1.05E-16,-4.95E-11
0.054,-4.93E-11,-2.50E-11,4.72E-11,5.30E-11,7.18E-15,9.51E-17,1.34875E-12
0.055,-9.02E-11,-4.87E-11,4.18E-11,8.16E-11,1.12E-14,-9.37E-17,4.01486E-12
0.056,1.32E-10,5.81E-11,-7.16E-11,-7.95E-11,3.20E-14,1.14E-16,2.08541E-11
0.057,-6.26E-11,-2.74E-11,3.13E-11,3.43E-11,4.41E-14,9.35E-17,1.20665E-11
0.058,1.21E-11,-5.52E-12,4.08E-11,1.31E-12,-6.15E-15,9.34E-17,-5.03E-11
0.059,1.79E-11,3.86E-12,-1.84E-11,-2.02E-11,-4.58E-15,1.24E-16,1.56936E-12
0.06,-5.33E-11,2.77E-11,-7.23E-11,-2.09E-11,3.96E-14,1.34E-16,4.42271E-11
0.061,8.98E-11,-2.07E-11,5.10E-11,3.36E-12,5.42E-14,1.24E-16,1.45969E-11
0.062,-3.89E-11,-1.66E-11,-1.11E-11,-1.19E-11,2.84E-14,1.08E-16,-2.58E-11
0.063,-1.93E-11,4.53E-12,-5.85E-12,3.21E-11,3.34E-15,1.09E-16,-2.51E-11
0.064,-7.62E-11,1.01E-11,5.48E-11,7.95E-11,-6.44E-14,9.63E-17,-6.77E-11
0.065,7.95E-11,4.09E-12,-5.25E-11,-1.04E-10,7.08E-14,7.60E-17,1.35166E-10
0.066,8.84E-11,1.26E-11,2.39E-11,3.07E-12,-1.45E-15,1.23E-16,-7.23E-11
0.067,1.05E-18,1.68E-17,-9.49E-17,5.92E-17,-1.45E-15,1.71E-16,6.40892E-16
0.068,-2.13E-10,-3.59E-11,1.76E-11,3.67E-11,1.87E-14,1.22E-16,2.01507E-11
0.069,1.09E-10,3.81E-11,-4.79E-11,-2.12E-11,-5.49E-15,1.15E-16,-2.42E-11
0.07,3.06E-11,1.29E-11,6.57E-12,-1.53E-11,-4.80E-15,1.03E-16,6.84649E-13
0.071,4.21E-12,-5.11E-11,1.85E-11,2.85E-11,7.46E-14,1.64E-16,7.94024E-11
0.072,4.66E-12,4.17E-11,1.55E-11,4.04E-11,-9.46E-14,1.06E-16,-1.69E-10
0.073,6.59E-12,1.96E-11,-2.86E-11,-7.70E-11,-1.08E-14,1.26E-16,8.38059E-11
0.074,-1.52E-11,-1.28E-11,1.63E-11,-4.45E-12,-2.26E-14,1.51E-16,-1.18E-11
0.075,-3.65E-11,-6.19E-11,-8.16E-12,6.26E-11,9.01E-15,-3.13E-17,3.163E-11
0.076,4.84E-11,9.34E-12,3.49E-11,-4.04E-11,-4.35E-14,1.45E-16,-5.25E-11
0.077,-3.36E-11,-7.64E-12,-4.95E-11,8.65E-14,5.55E-14,1.31E-16,9.89524E-11
0.078,-1.56E-11,6.20E-11,1.57E-11,2.36E-11,-4.22E-14,2.08E-16,-9.77E-11
0.079,4.04E-11,-1.01E-11,7.32E-12,-4.08E-11,-4.93E-14,1.96E-16,-7.05E-12
0.08,2.27E-11,-2.60E-11,2.67E-12,1.10E-11,1.27E-14,1.83E-18,6.1959E-11
0.081,-6.30E-11,-2.11E-11,8.32E-12,4.72E-14,2.81E-14,1.11E-16,1.53833E-11
0.082,1.20E-10,7.97E-11,-2.12E-11,1.37E-11,-6.36E-14,1.12E-16,-9.16E-11
0.083,-1.44E-10,-9.84E-11,-4.08E-11,6.49E-11,1.15E-13,1.40E-16,1.78672E-10
0.084,1.96E-11,1.02E-11,1.47E-11,-3.50E-11,3.02E-14,9.69E-17,-8.49E-11
0.085,2.63E-11,4.83E-12,2.86E-11,-2.62E-11,2.56E-14,1.12E-16,-4.62E-12
0.086,9.65E-11,6.78E-11,6.71E-11,-7.61E-11,-1.40E-14,1.21E-16,-3.96E-11
0.087,-3.16E-10,-4.94E-11,-1.88E-10,1.76E-10,-6.97E-14,1.39E-16,-5.57E-11
0.088,4.28E-10,2.27E-11,2.47E-10,-1.65E-10,8.02E-14,1.15E-16,1.49857E-10
0.089,-1.80E-10,-1.76E-11,-1.48E-10,8.27E-12,9.00E-14,2.23E-16,9.81986E-12
0.09,-2.41E-11,9.87E-12,3.36E-11,1.03E-10,-1.58E-13,5.87E-17,-2.48E-10
0.091,-3.36E-11,1.40E-11,6.51E-12,-1.07E-11,-4.69E-14,1.19E-16,1.11144E-10
0.092,8.44E-12,-2.59E-11,-3.25E-11,-7.67E-11,-6.11E-14,1.06E-16,-1.43E-11
0.093,6.75E-11,1.73E-11,3.68E-11,1.21E-12,5.28E-14,1.81E-16,1.13957E-10
0.094,-4.60E-12,1.02E-11,-2.61E-11,8.40E-12,7.35E-14,3.30E-16,2.06628E-11
0.095,-4.96E-12,3.73E-12,-1.43E-11,2.41E-11,1.40E-14,6.07E-17,-5.95E-11
0.096,-2.80E-11,-6.32E-12,-2.92E-12,2.94E-11,-1.30E-14,1.83E-16,-2.71E-11
0.097,-6.94E-11,1.74E-11,1.87E-11,2.72E-11,-6.74E-16,1.16E-16,1.23668E-11
0.098,1.06E-10,-2.21E-11,2.53E-11,-6.64E-11,-4.70E-14,1.33E-16,-4.63E-11
0.099,-3.66E-11,-2.66E-12,-1.94E-11,3.53E-11,1.28E-13,3.66E-16,1.75007E-10
0.1,2.77E-11,-3.26E-11,-1.10E-11,-2.55E-11,-6.22E-14,1.26E-16,-1.9E-10
0.101,2.50E-12,2.40E-11,1.41E-11,-9.10E-12,-3.19E-14,1.40E-16,3.02626E-11
0.102,-3.56E-11,5.99E-12,2.24E-11,-6.11E-12,-4.25E-14,3.28E-17,-1.06E-11
0.103,-3.13E-12,-1.40E-11,-5.21E-11,9.41E-12,1.99E-14,9.90E-17,6.23983E-11
0.104,-6.22E-15,3.07E-11,3.73E-11,8.48E-12,-9.91E-15,2.81E-16,-2.98E-11
0.105,-2.27E-11,-2.73E-11,7.81E-12,-1.92E-11,-3.84E-14,1.12E-16,-2.84E-11
0.106,1.22E-12,-6.21E-11,2.60E-11,3.72E-11,-5.25E-14,9.42E-17,-1.41E-11
0.107,1.66E-11,7.80E-11,-5.32E-11,7.10E-12,-3.55E-14,1.57E-16,1.69331E-11
0.108,2.96E-11,2.30E-11,1.02E-11,-2.09E-11,2.32E-14,1.21E-16,5.87383E-11
0.109,-6.74E-12,1.04E-12,-2.27E-11,4.98E-12,2.27E-14,1.36E-16,-4.89E-13
0.11,-2.54E-11,-5.81E-12,-2.81E-11,5.72E-12,2.92E-15,3.33E-17,-1.98E-11
0.111,2.53E-12,-3.78E-12,3.75E-11,-2.70E-11,-3.58E-14,1.74E-16,-3.87E-11
0.112,3.03E-11,-4.24E-11,1.25E-11,-2.50E-11,-2.64E-14,9.24E-17,9.34242E-12
0.113,-6.66E-12,2.03E-11,2.19E-11,9.47E-12,-1.77E-14,1.53E-16,8.69477E-12
0.114,2.27E-12,-4.01E-11,1.12E-12,9.67E-11,-5.07E-14,1.11E-16,-3.3E-11
0.115,4.36E-11,5.71E-11,-8.02E-11,-1.74E-10,-2.59E-14,1.16E-16,2.48042E-11
0.116,-9.86E-11,-3.35E-11,1.33E-10,1.58E-10,-2.00E-14,1.68E-16,5.88406E-12
0.117,1.45E-11,-1.61E-11,-7.94E-11,-3.21E-11,-8.41E-14,8.56E-17,-6.41E-11
0.118,9.62E-11,4.84E-11,4.54E-12,-8.88E-11,8.64E-14,8.87E-17,1.7054E-10
0.119,-1.08E-10,2.72E-12,-1.18E-11,1.33E-10,-6.06E-14,1.54E-16,-1.47E-10
0.12,1.63E-11,-3.22E-11,-4.59E-12,-6.52E-11,5.74E-14,1.05E-16,1.18022E-10
0.121,1.93E-11,-1.83E-11,2.97E-11,-1.33E-11,-1.49E-14,9.00E-17,-7.23E-11
0.122,-2.50E-12,7.61E-11,-4.59E-11,4.40E-11,-4.89E-14,9.54E-17,-3.4E-11
0.123,-1.47E-11,-6.25E-11,6.81E-11,-5.91E-11,-3.10E-14,1.04E-16,1.78567E-11
0.124,7.39E-11,-1.52E-11,-4.09E-11,-2.03E-11,1.95E-14,1.14E-16,5.05803E-11
0.125,3.20E-11,3.99E-11,-1.42E-10,-2.20E-11,8.04E-15,7.27E-17,-1.15E-11
0.126,-2.74E-11,4.36E-12,2.38E-11,2.51E-11,5.62E-15,7.86E-17,-2.42E-12
0.127,-5.59E-11,-1.63E-11,1.59E-10,8.39E-11,-9.11E-15,1.44E-16,-1.47E-11
0.128,-1.64E-10,4.43E-11,1.65E-10,1.16E-10,-2.50E-14,9.80E-17,-1.59E-11
0.129,1.60E-10,-5.90E-11,-1.80E-10,-1.37E-10,-3.21E-14,9.44E-17,-7.16E-12
0.13,-1.12E-11,-1.11E-11,-2.04E-11,-4.60E-11,9.36E-14,1.49E-16,1.25761E-10
0.131,-8.50E-12,5.35E-11,-1.69E-13,2.76E-11,-1.04E-13,1.21E-16,-1.98E-10
0.132,6.32E-11,-5.18E-11,-1.00E-12,-1.57E-11,-1.29E-14,1.04E-16,9.13349E-11
0.133,-7.27E-11,-7.50E-12,3.45E-11,1.38E-11,9.77E-14,5.75E-17,1.10631E-10
0.134,3.56E-11,-3.30E-12,-3.71E-12,5.61E-12,-2.68E-14,8.34E-17,-1.24E-10
0.135,6.93E-11,6.62E-11,-9.07E-11,7.92E-12,-7.86E-14,1.09E-16,-5.18E-11
0.136,-1.65E-10,1.10E-12,4.11E-11,1.01E-12,5.31E-14,5.06E-16,1.31649E-10
0.137,6.00E-11,-2.77E-11,3.61E-12,-1.33E-11,3.87E-14,3.09E-16,-1.44E-11
0.138,9.06E-11,1.62E-11,-2.27E-11,-1.83E-11,4.52E-14,9.07E-17,6.52451E-12
0.139,-1.28E-11,-1.05E-12,2.60E-11,1.28E-11,-2.50E-14,1.37E-16,-7.02E-11
0.14,-1.13E-10,-1.19E-11,4.71E-11,4.90E-11,8.80E-15,-1.15E-16,3.37966E-11
0.141,6.41E-11,4.29E-11,-2.12E-11,-4.42E-11,-3.94E-15,2.88E-17,-1.27E-11
0.142,6.30E-17,5.22E-18,2.00E-16,7.87E-17,-3.94E-15,1.72E-16,-4.21E-18
0.143,-4.09E-11,-3.03E-11,2.51E-11,1.03E-11,-1.32E-14,9.12E-17,-9.25E-12
0.144,-5.58E-13,-1.81E-11,-1.92E-11,5.58E-12,-2.44E-15,4.18E-17,1.07391E-11
0.145,9.76E-11,-4.98E-11,-5.32E-11,-1.38E-11,6.52E-15,1.12E-16,8.96001E-12
0.146,-5.85E-11,3.72E-11,2.82E-11,-1.13E-11,-3.17E-14,9.33E-17,-3.82E-11
0.147,5.95E-17,-6.97E-19,3.59E-17,4.48E-17,-3.17E-14,7.48E-17,2.518E-16
0.148,-1.02E-11,3.64E-11,-9.93E-13,4.44E-11,-2.36E-15,8.59E-17,2.93168E-11
0.149,-1.09E-13,-3.34E-11,-8.17E-12,-4.78E-11,4.97E-14,9.23E-17,5.20813E-11
0.15,8.47E-12,1.37E-11,2.26E-11,3.07E-11,3.66E-14,1.25E-16,-1.32E-11
0.151,-7.73E-12,1.72E-11,-3.36E-12,-7.14E-12,-8.67E-15,2.38E-17,-4.52E-11
0.152,4.91E-11,-6.07E-11,-3.92E-12,-2.23E-11,1.38E-14,2.05E-16,2.2476E-11
0.153,-5.87E-12,6.03E-12,-2.26E-12,1.30E-11,9.01E-16,9.77E-18,-1.29E-11
0.154,-1.07E-10,7.39E-12,5.89E-12,-8.24E-12,6.83E-14,4.81E-16,6.7446E-11
0.155,9.30E-11,7.54E-11,-3.76E-11,-7.97E-12,-1.38E-13,3.99E-18,-2.06E-10
0.156,-2.78E-11,-2.06E-11,1.17E-11,2.15E-11,3.88E-14,6.65E-17,1.76687E-10
0.157,5.05E-11,-2.03E-11,4.47E-11,2.15E-11,1.33E-14,9.63E-17,-2.56E-11
0.158,-1.59E-11,1.11E-12,1.02E-12,-2.34E-11,1.51E-14,9.25E-17,1.80863E-12
0.159,-3.54E-18,1.76E-16,6.11E-17,4.89E-17,1.51E-14,8.86E-17,-2.1E-17
0.16,-1.43E-17,2.83E-16,8.25E-17,8.11E-17,1.51E-14,8.47E-17,1.41299E-16
0.161,-6.05E-11,1.14E-11,-9.86E-11,9.29E-12,-3.48E-15,9.55E-17,-1.85E-11
0.162,2.55E-11,-1.89E-11,8.08E-11,-3.41E-11,-2.73E-14,1.10E-16,-2.38E-11
0.163,-1.24E-11,9.41E-12,1.25E-11,5.19E-11,4.65E-17,9.89E-17,2.73406E-11
0.164,2.31E-11,-6.22E-12,-2.36E-11,-2.82E-11,-9.59E-16,-3.03E-17,-1.01E-12
0.165,-4.14E-11,-1.20E-11,-7.74E-12,-3.27E-11,3.36E-14,9.97E-17,3.45764E-11
0.166,5.83E-11,-2.64E-13,2.42E-11,2.39E-11,2.86E-14,6.70E-17,-5.02E-12
0.167,-3.11E-11,1.44E-11,-1.04E-11,3.56E-11,1.08E-14,7.12E-17,-1.78E-11
0.168,-4.91E-12,8.51E-12,3.20E-12,-1.07E-11,-3.00E-14,8.84E-17,-4.08E-11
0.169,7.99E-14,-1.88E-12,1.40E-12,-1.62E-11,-5.10E-14,2.12E-17,-2.1E-11
0.17,8.22E-11,-1.60E-11,-2.41E-11,-1.75E-11,-3.00E-14,1.20E-16,2.10618E-11
0.171,-9.21E-12,-1.20E-10,1.10E-10,-4.65E-11,-5.27E-13,-2.23E-16,-4.97E-10
0.172,-1.69E-10,2.43E-10,-1.93E-10,1.16E-10,5.94E-13,5.65E-17,1.1208E-09
0.173,1.42E-10,-1.18E-10,8.46E-11,-5.87E-11,2.99E-14,7.65E-17,-5.64E-10
0.174,7.43E-12,-4.69E-13,2.10E-11,-2.43E-12,5.02E-14,6.59E-17,2.02269E-11
0.175,-1.91E-11,-1.79E-11,-4.55E-12,2.42E-11,3.97E-14,7.14E-17,-1.05E-11
