t,motFRTor,motRRTor,motFLTor,motRLTor,dx,q1,ddx
6.817,11.5808893,-22.24584004,10.85031007,-16.21637127,0.944425107,-0.000526215,-0.483908779
6.818,11.78579706,-22.40373504,11.17873242,-16.21378133,0.944180986,-0.000555648,-0.244120501
6.819,14.50818373,-24.50122507,13.56721272,-18.41970484,0.945007606,-0.000585012,0.826619574
6.82,11.17719478,-22.28818314,11.12192431,-15.91522336,0.944279874,-0.000614634,-0.727731989
6.821,12.46743539,-22.59936999,12.12239225,-16.97849615,0.944533279,-0.000644129,0.253404952
6.822,11.6981486,-22.29774188,11.78918438,-17.54838414,0.944211691,-0.000673309,-0.321587167
6.823,11.9336274,-22.19415724,12.00186937,-18.6693595,0.944211981,-0.00070212,0.000289582
6.824,12.41821008,-21.25947964,12.04238165,-19.07987576,0.944278654,-0.000730543,0.066673422
6.825,12.19463481,-21.15040932,11.55848723,-19.17026785,0.944328465,-0.000758635,0.049810278
6.826,11.64443276,-20.78024296,11.03793237,-17.8684855,0.944062985,-0.00078641,-0.265480093
6.827,12.48143982,-21.30756206,11.89772213,-18.52193492,0.944136687,-0.000813816,0.073702729
6.828,10.74338099,-19.35677032,10.36981002,-18.64429183,0.943681155,-0.000840791,-0.455532842
6.829,12.62235916,-19.51813942,11.60885944,-19.39315612,0.943649737,-0.000867152,-0.031417888
6.83,12.97054798,-19.83322744,11.90572015,-20.3933352,0.943650344,-0.000893017,0.00060775
6.831,10.96815021,-17.69425392,11.25357979,-18.2424228,0.942870071,-0.000918255,-0.780273868
6.832,13.63119759,-20.0329925,13.70510183,-20.49627673,0.943110836,-0.000942935,0.240765546
6.833,11.37690762,-17.4224634,11.40018337,-17.71123272,0.942471894,-0.000967036,-0.638941772
6.834,12.13290732,-18.58837702,12.36393424,-18.4507798,0.942243533,-0.000990703,-0.22836105
6.835,11.84938853,-18.58101205,12.05795564,-17.82199705,0.941979465,-0.001013994,-0.264068222
6.836,11.8350962,-17.70545307,12.19365872,-17.86495299,0.941845143,-0.001036804,-0.134321825
6.837,11.52758536,-17.5057351,12.06443415,-18.0339822,0.941692753,-0.001059102,-0.152390628
6.838,10.62586533,-17.10439574,11.59883476,-17.02755993,0.941251977,-0.001080935,-0.440776041
6.839,12.03324755,-17.94757383,12.92359903,-17.80018232,0.941273234,-0.001102361,0.021257295
6.84,10.77514097,-16.93655858,11.48921209,-16.83702463,0.941020477,-0.001123373,-0.252756878
6.841,11.51975008,-17.62354091,12.41729039,-17.39997598,0.941080955,-0.001144081,0.060478503
6.842,10.32213913,-17.10433118,11.39307157,-16.82616552,0.940836782,-0.001164547,-0.244173906
6.843,12.26772901,-17.8998797,11.6486263,-17.45563587,0.94068518,-0.001185014,-0.151601728
6.844,12.76470317,-19.80830695,12.63429208,-18.5187939,0.940897649,-0.001205452,0.212468692
6.845,10.77181816,-18.96756204,10.62516577,-16.30698653,0.94035194,-0.001225998,-0.545708411
6.846,13.4432282,-21.19716896,13.16365724,-18.71434233,0.940694377,-0.001246502,0.342436442
6.847,11.62271755,-20.70255802,11.21689655,-17.64398394,0.940523333,-0.001266953,-0.17104401
6.848,11.72558136,-20.90435185,11.31803357,-17.26162287,0.940204916,-0.001287482,-0.318416693
6.849,12.2820958,-20.89246926,11.5866323,-17.51185939,0.940130616,-0.001307975,-0.074299704
6.85,12.36610773,-20.48468653,11.93863195,-16.79068325,0.940088445,-0.001328373,-0.042171577
6.851,12.23509003,-21.21372928,12.24914803,-16.99692329,0.940184888,-0.001348687,0.096443642
6.852,12.27852552,-21.59564263,12.30433421,-16.71135147,0.940172608,-0.001368996,-0.012280536
6.853,10.56466004,-20.17791088,11.14140618,-16.52754112,0.93979127,-0.001389041,-0.38133726
6.854,12.51171855,-20.41550545,12.32618389,-18.69116515,0.939989611,-0.001408632,0.198340316
6.855,11.38847392,-19.63113604,11.34949047,-18.96126575,0.939942738,-0.001427784,-0.046872365
6.856,12.14800484,-19.21655472,11.88047427,-19.21589651,0.940169672,-0.001446592,0.22693333
6.857,11.3193038,-18.65082013,10.82605739,-20.25794147,0.9401305,-0.00146507,-0.039171382
6.858,11.37991877,-17.85122015,10.74923009,-19.27092456,0.939970271,-0.001483164,-0.160229076
6.859,13.00966508,-18.99355098,11.74248252,-19.87294817,0.940332847,-0.001500934,0.362576015
6.86,10.91295672,-18.47403068,10.38740239,-19.31127417,0.940072092,-0.001518336,-0.260754918
6.861,12.13420156,-18.7565997,11.69879385,-21.06509682,0.940283337,-0.001535259,0.21124479
6.862,11.29216889,-17.80608352,10.62339423,-19.90467446,0.939989855,-0.001551688,-0.293481981
6.863,12.51776616,-17.75619306,12.28777552,-20.05093861,0.939943551,-0.001567458,-0.046303859
6.864,12.29848264,-17.88511834,12.29848992,-19.44924769,0.939944026,-0.001582531,0.000474439
6.865,11.30920953,-17.06268872,11.83348828,-18.26749484,0.939684824,-0.001596929,-0.259202138
6.866,11.29495063,-15.90765563,11.56370573,-17.65428062,0.939364012,-0.001610625,-0.320811461
6.867,12.47507033,-16.69445055,12.70503481,-18.61992355,0.939495088,-0.001623692,0.131076212
6.868,11.07580056,-16.25791713,11.98572027,-18.49806934,0.939374039,-0.001636114,-0.121049242
6.869,9.879288709,-15.7507273,10.68532921,-17.56362869,0.938860523,-0.001648078,-0.513516262
6.87,12.69422264,-17.68206189,13.66251491,-19.95122806,0.939413473,-0.001659604,0.552950468
6.871,10.00548447,-15.90169695,10.95386846,-17.66674407,0.939189295,-0.001670678,-0.224177864
6.872,10.66249475,-16.44039294,11.51888344,-18.13710503,0.939190476,-0.001681326,0.001180391
6.873,11.12620397,-16.24463705,12.33070926,-17.92690495,0.939440794,-0.001691537,0.25031804
6.874,10.13285735,-17.09241776,11.1985882,-17.43727702,0.93937834,-0.001701429,-0.06245425
6.875,10.24305769,-18.59445056,11.09564775,-17.41914705,0.939225472,-0.001711228,-0.152867171
6.876,12.43058982,-20.78712399,12.05987464,-18.54478774,0.939475135,-0.001721148,0.249662198
6.877,10.95762396,-20.142764,10.54399071,-16.95332022,0.939098962,-0.001731197,-0.376173086
6.878,12.35888127,-21.00521762,11.89881113,-17.99678007,0.939193977,-0.001741321,0.095015293
6.879,12.09636508,-21.3545663,12.12663072,-17.89809457,0.939341053,-0.001751556,0.147075929
6.88,10.27945163,-18.86398149,10.62075829,-16.31483737,0.938689942,-0.001761715,-0.651111107
6.881,12.76395828,-20.38573799,12.24519678,-17.82880065,0.93864243,-0.001771875,-0.04751198
6.882,11.84186696,-18.996998,11.23652016,-16.31972914,0.938476133,-0.001781994,-0.166297023
6.883,12.70775048,-20.50345907,12.86889867,-17.31692945,0.938754946,-0.001791931,0.278813388
6.884,10.70191015,-19.89109332,11.28457641,-16.16096742,0.938367059,-0.001801662,-0.387887515
6.885,11.69049232,-20.29017015,11.78310377,-18.05617594,0.938248113,-0.00181103,-0.11894534
6.886,10.80729112,-19.09893194,11.18345058,-18.15910639,0.938036051,-0.001819848,-0.212061726
6.887,11.48962386,-18.89539381,11.41245753,-18.74777346,0.937950384,-0.001828064,-0.085667292
6.888,12.30961285,-18.99410838,12.33044819,-20.01472339,0.938310426,-0.001835726,0.36004169
6.889,10.17328988,-17.4950857,10.06732514,-18.54122772,0.937884431,-0.001842823,-0.425994757
6.89,11.58436658,-18.16418278,11.20885869,-19.85172803,0.937982013,-0.001849421,0.097581871
6.891,12.69787581,-18.16280243,11.80243439,-20.04270278,0.938404817,-0.001855417,0.422804132
6.892,10.91754127,-16.32804991,10.83530101,-18.69692908,0.937998423,-0.001860931,-0.406393651
6.893,11.32002987,-15.81253392,10.72647543,-18.9025036,0.937875458,-0.001865791,-0.122965742
6.894,11.14442975,-15.03425209,10.72194021,-17.42997157,0.937362545,-0.001870174,-0.512913195
6.895,13.14089116,-16.55626643,13.25518623,-19.29767763,0.937601228,-0.001874002,0.23868372
6.896,12.98548191,-16.49115336,12.9818813,-19.136663,0.937857137,-0.001877309,0.255908562
6.897,10.86383424,-15.04538448,10.59602404,-17.40898934,0.937422772,-0.001880212,-0.434365185
6.898,11.54603539,-15.31990602,10.9205212,-17.32070121,0.937168629,-0.001882846,-0.254142474
6.899,13.16202036,-16.31832776,12.77929631,-18.26771872,0.937316506,-0.001885169,0.147877184
6.9,10.4482014,-15.11544517,10.85125469,-17.45199969,0.9370035,-0.001887221,-0.313006114
6.901,11.83142705,-15.55948474,11.74862177,-17.87545677,0.936914495,-0.001889097,-0.089005247
6.902,11.76337904,-15.02664702,11.49059911,-17.74018648,0.936985708,-0.001890745,0.071213235
6.903,10.86114486,-15.4167973,11.13520535,-17.57800367,0.936793781,-0.001892229,-0.191926699
6.904,11.50528721,-15.57431207,11.75834832,-17.21855578,0.936850016,-0.001893633,0.056234132
6.905,10.0017286,-15.27962126,10.21410402,-15.81343507,0.936567705,-0.001894999,-0.28231083
6.906,13.18866865,-19.00032141,13.04516356,-18.46582306,0.937393018,-0.001896544,0.825312853
6.907,10.08639985,-18.02419478,10.41643368,-16.56562239,0.937018456,-0.001898089,-0.37456198
6.908,11.32116281,-19.05694613,11.33632096,-17.44387283,0.9369781,-0.001899548,-0.040355837
6.909,11.71089703,-19.81960051,11.24465928,-17.40135604,0.936986585,-0.001901195,0.00848501
6.91,11.35421549,-19.74080392,11.21000257,-16.59389027,0.936761745,-0.001902882,-0.224839876
6.911,11.94777381,-19.8238715,12.05196898,-17.02963746,0.936880018,-0.001904442,0.118272912
6.912,10.3879238,-19.45218564,11.03719095,-16.06034313,0.936487732,-0.001905788,-0.39228633
6.913,12.17358671,-19.05015106,12.47813286,-16.30606341,0.936572176,-0.001906954,0.084444414
6.914,11.68596753,-19.01695155,12.13964354,-16.869468,0.936652246,-0.00190799,0.08007023
6.915,10.66673517,-19.02395305,11.56761521,-17.4528749,0.936450113,-0.001908551,-0.202133074
6.916,10.83959045,-19.08909103,11.5328629,-17.93354815,0.936433661,-0.001908617,-0.016452001
6.917,11.96820868,-20.10332102,12.72482929,-19.48953534,0.936947576,-0.001908202,0.513914446
6.918,10.32791944,-18.63820245,11.05580364,-18.39395917,0.936907601,-0.001907383,-0.039974831
6.919,11.02717791,-19.05067511,12.03106056,-19.7189917,0.937250459,-0.001905927,0.342857874
6.92,9.645814491,-18.81407374,10.89988263,-18.63684951,0.936989021,-0.001904075,-0.261437944
6.921,11.55419677,-19.6261175,11.86969584,-19.90924788,0.937492653,-0.001901678,0.5036321
6.922,10.05856599,-18.39133896,10.60828466,-18.72076491,0.937718705,-0.00189881,0.226052597
6.923,10.4094115,-17.62114984,10.83262019,-18.90862973,0.937775595,-0.001895627,0.056890057
6.924,10.49351307,-16.900008,10.59970251,-18.23055409,0.937613486,-0.001892161,-0.162109827
6.925,12.21117886,-17.85719056,12.44938164,-19.71743144,0.938133827,-0.00188834,0.520341182
6.926,10.90543811,-16.45198513,11.17078442,-17.57169127,0.937925335,-0.001884199,-0.208492096
6.927,11.44161227,-16.82921009,11.89536803,-17.67380657,0.937729529,-0.001879806,-0.195806073
6.928,11.19993546,-16.55077937,11.86719929,-17.19127478,0.937553182,-0.00187505,-0.17634628
6.929,11.55180269,-16.05576507,11.74825674,-17.30362905,0.93749614,-0.00186997,-0.05704232
6.93,11.30681881,-16.02483833,11.18033842,-17.25189075,0.937564799,-0.00186462,0.068658669
6.931,11.0896355,-15.36650437,11.40784409,-17.90158913,0.937575525,-0.001858858,0.01072636
6.932,10.02967278,-14.65599992,10.28066302,-16.82574227,0.937199975,-0.001852882,-0.375550345
6.933,11.90680803,-15.88227981,12.32011732,-18.76953131,0.937543973,-0.001846548,0.343998606
6.934,10.44850205,-14.48070721,10.86954952,-16.93685278,0.937423295,-0.001839847,-0.120678795
6.935,10.10371817,-14.53843364,10.52346149,-16.42985078,0.937183934,-0.001832833,-0.239360426
6.936,11.08724243,-15.18103355,11.24120435,-16.32824767,0.937317395,-0.001825685,0.133461089
6.937,10.22485284,-15.34326195,10.84780464,-16.36309664,0.9371951,-0.001818378,-0.122294672
6.938,10.9049125,-16.12122248,10.92116272,-17.00449798,0.9372474,-0.001810842,0.052299281
6.939,10.62834383,-16.8647085,10.92636851,-16.75083934,0.937159786,-0.001803115,-0.087613476
6.94,10.26228995,-17.56041616,10.97153229,-16.5187962,0.936862538,-0.001795252,-0.297248679
6.941,11.9607354,-17.66069955,11.89259872,-16.91657974,0.936843257,-0.001787288,-0.019281012
6.942,11.45085121,-17.45853363,11.79446834,-16.40733977,0.936678679,-0.001779148,-0.164577742
6.943,9.984502865,-16.36610944,10.87635371,-15.72456405,0.936137055,-0.001770754,-0.541623408
6.944,11.27716123,-17.05184271,12.2265177,-17.16311834,0.936103378,-0.001762053,-0.03367779
6.945,12.03238751,-17.78546875,12.83675912,-18.31061321,0.936304489,-0.001752951,0.201111454
6.946,10.80546905,-16.96813292,11.99701741,-17.80167601,0.936235844,-0.001743319,-0.068645612
6.947,10.76452076,-17.99907693,12.20144661,-18.87380987,0.936370849,-0.001733079,0.13500555
6.948,10.2336676,-18.04060844,11.56978764,-19.28533681,0.936221953,-0.001722312,-0.148895721
6.949,10.47017447,-17.62391942,11.86496206,-20.28433875,0.936249624,-0.001710988,0.02767041
6.95,11.24591254,-17.99908775,12.63541599,-20.92121968,0.936710332,-0.001699152,0.460708097
6.951,10.12799775,-17.54633744,11.65938538,-19.59938557,0.936897652,-0.001686731,0.187320465
6.952,9.454366623,-16.53159354,10.5804087,-18.67939405,0.936620997,-0.001673807,-0.276655063
6.953,11.38898919,-18.12406324,12.46816923,-20.67702208,0.937216845,-0.001660538,0.595847762
6.954,10.47609369,-17.57493441,11.37884333,-20.39187949,0.937553743,-0.001647088,0.336898101
6.955,11.3801857,-17.36629112,12.45522084,-20.88350864,0.938116202,-0.001633323,0.562458756
6.956,10.05975993,-16.23284956,10.74393874,-19.0171425,0.93797864,-0.001619261,-0.137561425
6.957,10.92666437,-16.36359928,11.69978013,-18.63528577,0.937859675,-0.001604903,-0.118965683
6.958,11.48757769,-16.06808689,11.92238648,-18.52152793,0.938080135,-0.001590162,0.220459837
6.959,11.32391868,-16.08635717,11.78376073,-17.83975075,0.938074316,-0.001575057,-0.00581886
6.96,10.3081078,-16.12340127,11.31853816,-17.94097111,0.937945871,-0.001559737,-0.12844505
6.961,10.14659162,-15.65613933,11.42313178,-17.91585755,0.937938879,-0.001543979,-0.006991616
6.962,10.37423031,-15.84692218,11.93696925,-17.62893703,0.937945556,-0.001527917,0.006677228
6.963,9.98508859,-15.26977967,11.51843351,-16.92665162,0.937806836,-0.001511613,-0.138719948
6.964,10.91046725,-15.32594127,12.47449276,-17.94872065,0.938034748,-0.00149485,0.227911789
6.965,9.981043343,-14.13255235,10.9032499,-16.3521965,0.93770455,-0.001477849,-0.330197769
6.966,10.08034597,-14.28423568,10.76672094,-16.26611507,0.937408374,-0.001460776,-0.296176791
6.967,10.7308304,-15.18956656,11.58176492,-17.26899943,0.937352727,-0.001443486,-0.055646553
6.968,10.16876401,-15.68137979,10.80154911,-16.77266899,0.937121376,-0.001425921,-0.231350684
6.969,11.95866208,-17.07038935,11.34684116,-17.97245081,0.937266054,-0.001408187,0.144677873
6.97,9.66978894,-16.18180314,10.36071725,-15.88274707,0.936719477,-0.001390284,-0.546577352
6.971,11.47631058,-17.31477121,11.16249487,-16.77333238,0.936588599,-0.001372277,-0.130877457
6.972,11.32468725,-16.85279881,11.29863851,-16.21607907,0.936443797,-0.001354151,-0.144802815
6.973,11.10903862,-16.36284345,11.49931459,-16.21953241,0.935824635,-0.001335634,-0.619161359
6.974,11.31712611,-16.15593023,11.87902303,-16.5126434,0.93556763,-0.001316618,-0.257005134
6.975,11.3653052,-16.10649181,11.88890805,-16.76887672,0.935323155,-0.001297159,-0.244475489
6.976,12.22083961,-16.17778761,12.7461654,-17.32412467,0.935289057,-0.001277338,-0.034097548
6.977,10.68257296,-16.15107205,11.52120382,-16.15893532,0.934904248,-0.001257172,-0.384808946
6.978,11.34931939,-16.56079368,11.75737842,-17.3889584,0.934829201,-0.001236699,-0.075047474
6.979,10.94376568,-17.59923023,11.63839379,-18.79297097,0.934788723,-0.00121585,-0.040477298
6.98,9.791089785,-16.78465517,10.51712054,-17.92928497,0.93432195,-0.001194555,-0.466773397
6.981,13.18600213,-19.70920789,13.32932063,-21.57006439,0.935260448,-0.001172953,0.93849794
6.982,10.6382323,-17.36519065,11.11476442,-18.44768561,0.935307497,-0.001150999,0.047048903
6.983,10.7474559,-18.04224806,11.51071366,-18.77826009,0.935481544,-0.001128828,0.174047306
6.984,10.09591836,-18.45375579,11.17145415,-19.45684717,0.935552649,-0.001106414,0.07110457
6.985,10.19277186,-18.2753828,11.05652281,-18.55755371,0.935480983,-0.001084039,-0.071666036
6.986,13.04412025,-19.67190729,13.55120032,-20.79780421,0.936267096,-0.001061696,0.786113757
6.987,11.66069689,-17.00950897,11.5946805,-17.58604099,0.936375286,-0.001039395,0.108189525
6.988,11.04373941,-16.61310393,12.03981146,-17.74339301,0.936163721,-0.00101703,-0.211565247
6.989,11.99103242,-17.59356388,12.67682013,-18.27348318,0.936602078,-0.000994654,0.438357395
6.99,10.58398071,-17.38858689,11.59247082,-17.93770801,0.936161685,-0.000972551,-0.440393038
6.991,12.4709294,-18.90852013,13.02456996,-19.64512757,0.937042845,-0.000950572,0.881160022
6.992,9.273021529,-16.52250747,10.40956186,-17.41032327,0.936781564,-0.000928812,-0.261280928
6.993,13.40113524,-20.04914139,14.61064658,-21.19314143,0.938046852,-0.00090732,1.265287517
6.994,9.204535688,-15.90018561,9.912169529,-15.64548132,0.937502961,-0.000886071,-0.54389018
6.995,12.87760814,-17.95315158,12.71531579,-19.32847708,0.938311496,-0.000865175,0.808534592
6.996,10.77828421,-16.12825418,11.24271256,-16.88941339,0.9382298,-0.000844575,-0.081696492
6.997,11.6002909,-17.80529653,11.88717931,-18.05652739,0.938568681,-0.000824252,0.338881662
6.998,10.31126426,-17.6041898,10.6384538,-17.46635815,0.938339561,-0.000804281,-0.229119831
6.999,12.32516957,-19.82334086,11.53072186,-18.15689117,0.938608922,-0.000784746,0.26936106
7,12.06649802,-19.31649377,11.41911673,-16.92323997,0.938774496,-0.000765781,0.165573546
7.001,12.6148617,-19.00293709,12.00600891,-17.06396315,0.938869219,-0.00074732,0.09472348
7.002,11.09155198,-17.97404157,10.66338739,-15.30630351,0.938391025,-0.000729415,-0.478194784
7.003,11.25916917,-17.45672617,11.13680549,-15.90371754,0.937998855,-0.000711989,-0.39217008
7.004,13.93168521,-19.81889991,13.36194428,-18.29585404,0.938456811,-0.000695063,0.457956171
7.005,12.58342058,-19.0873429,13.08467562,-17.84469617,0.938692303,-0.000678512,0.23549202
7.006,10.61011661,-18.62582947,11.10886326,-16.34237235,0.938004589,-0.000662444,-0.687713727
7.007,12.38745768,-19.95191112,12.59458339,-18.20121477,0.938035151,-0.000646795,0.030562191
7.008,10.31107026,-18.37307613,11.25998251,-17.20544924,0.937554082,-0.000631526,-0.481069482
7.009,13.11359865,-20.89137561,13.52017745,-20.61147113,0.938056173,-0.000616773,0.502090905
7.01,10.7546077,-18.71939351,11.37664282,-17.54225381,0.937652661,-0.000602465,-0.403511669
7.011,14.15484044,-21.04895566,13.74962415,-20.83792475,0.938530995,-0.000588579,0.878333755
7.012,10.58295457,-18.985036,10.5037494,-17.60635322,0.938069875,-0.000575105,-0.461119873
7.013,13.31572734,-20.50493834,12.19731787,-20.17421043,0.938468059,-0.000562138,0.398184448
7.014,11.60683709,-19.79972796,10.91476551,-18.61370875,0.938413193,-0.000549739,-0.05486678
7.015,12.20149024,-20.14838922,11.33783224,-19.50421787,0.9384627,-0.000537915,0.049507772
7.016,12.71399866,-19.71213262,11.97406846,-18.9273966,0.938668596,-0.000526685,0.205895623
7.017,13.69514834,-19.66395704,12.41094893,-18.85451421,0.938868421,-0.00051626,0.199825194
7.018,11.04355918,-17.24322442,10.55745628,-15.93578815,0.938123448,-0.000506369,-0.744973576
7.019,16.04934394,-21.45721418,15.14464412,-20.82045263,0.939158116,-0.000497071,1.034668322
7.02,11.17312472,-17.85179545,11.07632358,-16.4545122,0.938828421,-0.000488345,-0.329695271
7.021,11.65538616,-18.64101217,11.76213163,-17.21560461,0.938553171,-0.000480169,-0.275249633
7.022,11.66039529,-17.90694133,11.82677662,-16.8743819,0.938435629,-0.000472389,-0.11754228
7.023,12.5398551,-19.39149517,12.92836364,-18.3448744,0.938915676,-0.000465049,0.480047552
7.024,10.85711154,-19.31138708,11.7763746,-16.77978937,0.938734059,-0.000458112,-0.181616833
7.025,11.7803841,-19.19791497,12.22250615,-17.58715973,0.938757409,-0.000451536,0.023349456
7.026,13.03193429,-19.66877048,13.03056174,-18.43411113,0.939272735,-0.000445356,0.515325825
7.027,10.05151336,-17.74148653,10.30746287,-16.52467859,0.938668786,-0.000439593,-0.603949187
7.028,13.46104165,-20.02821626,12.80331666,-19.70807862,0.939279934,-0.000434291,0.611148283
7.029,13.26754542,-21.01827642,11.84213947,-19.51810382,0.939593711,-0.000429376,0.313776741
7.03,11.33164314,-20.25771789,10.26630574,-17.17197841,0.939194023,-0.000424982,-0.399687362
7.031,13.45466496,-22.16168645,12.25564419,-18.8976421,0.939364361,-0.000421171,0.170337675
7.032,13.45798782,-22.02171108,11.95358319,-18.79683229,0.939634014,-0.000417869,0.269653127
7.033,12.41806826,-20.68673068,11.85651443,-17.76909772,0.939524399,-0.000414827,-0.109615151
7.034,10.77871184,-19.49577594,10.8582691,-16.57746689,0.938653293,-0.000411839,-0.871105429
7.035,14.51953065,-23.08869817,14.43798486,-21.23600959,0.939250112,-0.000408795,0.596818361
7.036,13.97434377,-21.83325414,14.1989851,-20.1605295,0.940007499,-0.000405659,0.757387708
7.037,10.08856882,-20.41121627,11.16481077,-15.82898181,0.939092434,-0.00040244,-0.915065353
7.038,12.53428052,-21.48767191,12.60108507,-17.78148858,0.938912076,-0.000399131,-0.180358229
7.039,13.06013529,-22.85052324,12.72530927,-18.93012031,0.93882805,-0.000395785,-0.084025417
7.04,12.04990132,-20.34654237,12.17342457,-18.62161221,0.938796789,-0.000392228,-0.031261333
7.041,12.73534759,-21.64514983,12.67967337,-20.22715205,0.93879878,-0.000388535,0.001990709
7.042,13.39629628,-22.16766677,13.39814888,-20.63266932,0.939381664,-0.000384516,0.582883736
7.043,10.37738651,-21.5082351,11.22263778,-19.07093948,0.938810993,-0.000380169,-0.570670442
7.044,12.76099794,-22.67050895,12.93059209,-20.69406418,0.939175527,-0.00037553,0.364534131
7.045,11.42945987,-21.39734057,11.85856686,-19.35054689,0.939092155,-0.000370645,-0.083372069
7.046,13.06971233,-21.90514097,12.90732186,-20.30655234,0.939462583,-0.000365526,0.370427388
7.047,11.94885066,-20.37080767,11.61956583,-20.10230657,0.939389614,-0.00036026,-0.072968593
7.048,12.69876019,-19.87825937,13.05059198,-19.76869408,0.939233064,-0.000354547,-0.15655045
7.049,12.94409062,-19.54266004,13.49763694,-19.37313377,0.939269165,-0.00034846,0.036101821
7.05,11.69009124,-18.51025662,12.23300917,-18.34632452,0.938830606,-0.000342065,-0.438559349
7.051,12.91815874,-19.14437328,13.18074813,-19.0595642,0.938881238,-0.000335422,0.050631944
7.052,13.64941631,-19.43374035,13.52965894,-20.6481833,0.939450988,-0.000328661,0.569749746
7.053,10.25277539,-17.05745792,11.31915322,-18.55839242,0.938921759,-0.000321483,-0.529228227
7.054,12.64600484,-18.88151966,13.96711023,-20.53540818,0.939297585,-0.000314025,0.375825568
7.055,10.8147702,-18.17966914,12.47704262,-19.24054507,0.939208318,-0.000306369,-0.089267174
7.056,11.18480625,-18.10244689,12.06317163,-19.36719644,0.938971948,-0.0002986,-0.236370113
7.057,12.32425415,-19.5487412,12.57934444,-20.28559684,0.939213333,-0.000290996,0.241385221
7.058,12.14729153,-18.56617412,11.75485535,-19.6672254,0.93916574,-0.000283659,-0.047593438
7.059,14.17760628,-18.95614381,12.53950221,-21.23393996,0.939610291,-0.000276578,0.444551881
7.06,11.9750236,-19.12877799,10.35531059,-19.73858371,0.93924013,-0.000269886,-0.370161742
7.061,12.19237214,-20.38118425,11.04688722,-19.78724566,0.938896499,-0.000263404,-0.343630367
7.062,14.69213118,-22.21501203,13.26596835,-21.70442832,0.939535509,-0.000257072,0.63900923
7.063,11.91152706,-20.56562442,11.01256534,-19.12685446,0.939327792,-0.000250716,-0.207716454
7.064,13.12041384,-21.15095499,12.12659307,-20.57082666,0.939406536,-0.000244294,0.078743595
7.065,11.74956684,-20.18344813,11.79747217,-19.36191832,0.938881723,-0.000237796,-0.524813007
7.066,11.95754238,-20.40857102,12.17534378,-19.3630448,0.938647479,-0.000231288,-0.234243865
7.067,12.89053801,-21.01665292,12.7809367,-19.82360737,0.938648803,-0.00022466,0.001324309
7.068,11.71056422,-20.43188865,12.46271271,-18.80862928,0.938405067,-0.000217823,-0.243736547
7.069,13.00092282,-21.27485226,13.32110718,-19.8770342,0.938862632,-0.000210853,0.457565479
7.07,11.32030627,-21.48418096,11.736896,-18.96951777,0.938513954,-0.000203681,-0.348678353
7.071,12.13036604,-21.1191807,12.45888046,-19.63823735,0.938556114,-0.000196144,0.042159806
7.072,12.81903226,-21.92941647,13.02660702,-21.43246448,0.938597907,-0.000188529,0.041793766
7.073,10.59774309,-20.58558984,11.37201434,-20.56669177,0.93840794,-0.000180456,-0.189967707
7.074,13.0420092,-21.36057053,13.16861903,-21.74622567,0.938629244,-0.000172089,0.221304082
7.075,12.13935337,-20.59474624,12.1316216,-21.03081484,0.938702317,-0.000163344,0.073073561
7.076,10.96259426,-19.85377046,10.95189276,-19.94517685,0.938416087,-0.000154318,-0.286230006
7.077,13.42079418,-20.92848393,12.63960757,-22.06017205,0.93884053,-0.000144989,0.424442429
7.078,12.99783131,-20.87824757,12.67195316,-20.91734323,0.939193777,-0.000135384,0.353247194
7.079,12.06419159,-19.59321415,12.38517186,-20.24778484,0.939095877,-0.000125376,-0.097899892
7.08,12.19366366,-19.10093334,12.41582657,-20.09028942,0.939048181,-0.000115103,-0.047696239
7.081,12.4986057,-18.34169917,12.48460685,-20.56634493,0.939118386,-0.000104303,0.070205081
7.082,11.80479918,-17.38303922,11.71278517,-20.44306905,0.938815159,-0.000093,-0.303226896
7.083,12.45504159,-17.63797748,11.9550655,-20.4358696,0.938747018,-0.0000815,-0.068140406
7.084,12.38085351,-17.58318469,11.67132578,-19.91752525,0.938756319,-0.0000699,0.009300854
7.085,11.67135324,-17.74567142,11.20352806,-19.93788074,0.938571569,-0.000058,-0.184750187
7.086,12.68788772,-18.35580571,12.70792785,-20.17679964,0.938772844,-0.0000461,0.201274517
7.087,10.82253903,-17.40468355,11.09593409,-18.10494499,0.93834098,-0.0000342,-0.431863877
7.088,12.12955682,-18.66262454,12.08316066,-19.24401431,0.938375694,-0.0000225,0.034714531
7.089,10.80312204,-18.13832564,10.24802969,-17.11102197,0.937825924,-0.0000112,-0.549770005
7.09,14.19422171,-20.28535215,13.20717351,-19.93070218,0.938546762,-0.000000389,0.720837777
7.091,10.61830166,-17.41609678,9.447991094,-16.83615044,0.937738071,9.89E-06,-0.808691398
7.092,14.33601743,-21.04773691,12.67826702,-20.58122512,0.938312373,1.98E-05,0.574301814
7.093,10.37852806,-20.15796244,9.457066962,-17.23506543,0.937432888,2.94E-05,-0.879484862
7.094,13.98899144,-22.49017739,12.72037655,-20.05816076,0.938051605,3.86E-05,0.61871751
7.095,11.61148297,-20.96108729,10.74776757,-17.99540633,0.937651586,4.78E-05,-0.400018907
7.096,11.28487948,-20.71859822,10.88536437,-17.27961116,0.937219443,5.67E-05,-0.432143428
7.097,12.51333805,-21.68947655,12.55674561,-18.81541442,0.937356113,6.56E-05,0.136669876
