t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor,servFRTor,servRRTor,servFLTor,servRLTor
0.010000000000000002,0.19888004642432164,0.22615358698702298,-1.4503443090392627e-05,6.186787368093867e-15,-0.10791000000000044,-1.6096371071711422e-15,-9.18408828277789e-12,-9.810000000019913,1.1449542051368256e-10,0.0,0.0,1.0,-9.657805706266693e-19,6.155763908868272e-20,9.045687501295207e-19,-1.1320031910263746e-11,2.293705411686154e-11,1.1339133381300982e-11,-8.201492834924486e-13,-1.1384343119673766e-11,5.299185068036261e-12,-8.77621509031792e-12,-1.8356194295276077e-11
0.011000000000000003,0.19888004642432164,0.22603586698702297,-1.4503443090378256e-05,1.9473128074543344e-15,-0.11772000000000607,1.437107203110131e-14,-4.239474560639532e-12,-9.810000000005633,1.5980709138272453e-11,0.0,0.0,1.0,1.6401830978058179e-18,-1.5446206176882335e-19,-1.0324684715620656e-18,2.5267823063179384e-13,-1.3083253613090704e-12,3.673760249418434e-12,-7.785149579478478e-13,-3.1725325272647066e-11,-1.416711505618976e-11,-3.2282266771428575e-11,-1.2984875689615617e-11
0.012000000000000004,0.19888004642432164,0.22590833698702295,-1.4503443090363886e-05,1.947398165112206e-15,-0.12753000000000608,1.43708688515321e-14,8.535765787159243e-17,-9.810000000000013,-2.031795692106551e-16,0.0,0.0,1.0,4.245635875097956e-18,-3.6916200217181495e-19,-2.969107296276777e-18,2.2401984676161817e-17,7.36161214436533e-17,1.7077220933174748e-16,5.674943237181602e-18,5.440598247635521e-17,7.582653920399976e-18,-1.2656164323018058e-16,2.2298666778348675e-17
0.013000000000000005,0.19888004642432164,0.22577099698702296,-1.4503443090381243e-05,-1.2077101727369859e-14,-0.1373399999999827,-1.7357468451462448e-14,-1.4024499892482064e-11,-9.809999999976615,-3.1728337302994545e-11,0.0,0.0,1.0,3.176710841397233e-18,3.530291452233618e-18,-2.6533881555989253e-19,-2.369894278010408e-13,9.044370668545559e-12,-3.690813884825054e-12,3.0667928111322154e-12,5.342716579234507e-11,4.7085209055023424e-11,5.6681018461276155e-11,4.389992316856494e-11
0.014000000000000005,0.19888004642432164,0.22562384698702295,-1.4503443090372771e-05,-6.222761676468735e-15,-0.14715000000000114,8.472595528204766e-15,5.854340050901124e-12,-9.810000000018443,2.5830063979667213e-11,0.0,0.0,1.0,1.1260329295850704e-17,-8.049558481614013e-18,-1.2351339925174753e-17,-4.544699170674746e-12,-1.4701775847158807e-11,6.331806963959244e-13,-5.360456764980286e-12,-3.907225324405803e-11,-2.7398079044836582e-11,-3.036461525224564e-11,-2.377410338239141e-11
0.015000000000000006,0.19888004642432164,0.22546688698702297,-1.450344309040579e-05,5.757524614077945e-15,-0.1569599999999828,-3.301970255471114e-14,1.198028629054668e-11,-9.809999999981667,-4.1492298082915905e-11,0.0,0.0,1.0,4.942042459222703e-18,-4.017035310992589e-18,-6.448009342594811e-18,8.51225918795452e-12,1.953115033305642e-11,1.363092191102338e-12,9.085004839448502e-12,3.0846482338096744e-11,-8.236398723574723e-12,-1.125481500909087e-11,1.1781315636368686e-11
0.016000000000000007,0.19888004642432164,0.22530011698702296,-1.4503443090396845e-05,-9.138449898722e-16,-0.16677000000000675,8.944538504542866e-15,-6.671369603950145e-12,-9.810000000023939,4.1964241059254006e-11,0.0,0.0,1.0,1.5807321343931801e-18,-3.394151774441181e-18,-8.111079684762217e-19,3.958746713320398e-12,-1.0014839748297745e-11,-2.165778461791625e-12,-7.295592001153597e-12,-4.1988515869944626e-11,1.0491761670663726e-11,-3.902994479827392e-13,-2.4655209837527772e-11
0.017000000000000008,0.19888004642432164,0.22512353698702295,-1.4503443090378619e-05,-8.334716807605926e-15,-0.1765799999999997,1.822616536470345e-14,-7.420871817733726e-12,-9.809999999992963,9.281626860160586e-12,0.0,0.0,1.0,1.1373675328702513e-18,-4.178063522334758e-18,1.0811043934649265e-18,-2.5284807839668385e-11,-4.03516774194222e-12,-2.925392038460173e-13,1.5469075856541998e-13,1.6749013139988052e-11,-8.482186442149322e-12,1.598062258617336e-11,1.526167451146142e-11
0.01800000000000001,0.19888004642432164,0.22493714698702297,-1.4503443090367067e-05,-8.296893821579917e-16,-0.18638999999998096,1.1552438196139275e-14,7.505027425447934e-12,-9.809999999981251,-6.673727168564176e-12,0.0,0.0,1.0,5.284990624168879e-18,-1.5612346033835865e-18,-1.5771338909174294e-18,2.0804132992574338e-11,4.269024103098982e-13,2.4035013430641677e-12,1.5055622542553917e-12,3.606261904670814e-11,3.7406817419415386e-12,1.4475608997179044e-11,-1.617342716080473e-11
0.01900000000000001,0.19888004642432164,0.22474094698702296,-1.4503443090366566e-05,-7.39133668461646e-15,-0.1962000000000142,5.008695205519593e-16,-6.561647302458468e-12,-9.810000000033236,-1.1051568675587316e-11,0.0,0.0,1.0,3.2992407961208975e-18,-5.30150686204814e-19,-1.6845276115707684e-18,-4.63428725020815e-12,3.0769385266526714e-13,-7.237748160951802e-13,2.5399754888209675e-12,-3.935260535905096e-11,2.889860166025206e-12,-2.1648126222583044e-11,2.3399450813035117e-11
