t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.010000000000000002,0.5141570552417476,0.3470835566428791,0.25373742652605735,-8.21E-15,-0.10791,6.9615986328852245e-15,-5.19E-11,-9.81,2.5104029878479432e-11,0,0,1,5.836044381832668e-17,1.1654564989630156e-15,1.608854192472053e-15,-1.95E-10,-1.41E-11,1.3361992487059618e-10,-8.21E-11
0.011000000000000003,0.5141570552417476,0.34696583664287906,0.25373742652605735,-1.93E-14,-0.11772,1.4722106054782798e-14,-1.11E-11,-9.81,7.760507421897574e-12,0,0,1,4.362479021212662e-17,1.108787439369613e-15,1.5934604917476213e-15,1.7820490864145535e-11,-3.57E-12,-7.60E-14,1.3204812273950194e-12
0.012000000000000004,0.5141570552417475,0.34683830664287907,0.25373742652605735,-8.40E-14,-0.12753,2.1981359910932813e-15,-6.47E-11,-9.81,-1.25E-11,0,0,1,4.6696797614150974e-17,9.554165959465028e-16,1.6060733342980135e-15,3.1198540807152136e-10,-1.21E-12,-2.19E-10,4.4991998431188226e-11
0.013000000000000005,0.5141570552417475,0.3467009666428791,0.25373742652605735,3.8372216457355095e-14,-0.13734,1.8062785809396227e-14,1.2235295432663812e-10,-9.81,1.5864649818302948e-11,0,0,1,3.845351798183148e-17,1.1688519080153972e-15,1.6167176365960147e-15,-2.22E-10,-1.14E-12,9.801751435739592e-11,-2.29E-11
0.014000000000000005,0.5141570552417475,0.3465538166428791,0.25373742652605735,2.9732704490905367e-14,-0.14715,1.504426436806669e-14,-8.64E-12,-9.81,-3.02E-12,0,0,1,4.1372996478589985e-17,1.0601185538587624e-15,1.4554698875526426e-15,1.1662149567333696e-11,1.8227080647700325e-12,5.543921820552061e-11,4.206338731025181e-11
0.015000000000000006,0.5141570552417476,0.3463968566428791,0.25373742652605735,8.423468136345708e-14,-0.15696,-7.07E-15,5.450197687255171e-11,-9.81,-2.21E-11,0,0,1,2.735630532585476e-17,1.159061985136163e-15,1.6432417060033892e-15,-3.09E-11,3.020093566203499e-13,-4.72E-11,8.695311945960688e-12
0.016000000000000007,0.5141570552417475,0.34623008664287913,0.25373742652605735,-7.95E-14,-0.16677,-1.09E-15,-1.64E-10,-9.81,5.986151995616158e-12,0,0,1,5.2278798142893655e-17,1.1552468183763383e-15,1.7302893593085513e-15,1.1063219800512587e-10,3.132914688505629e-11,2.4790703504203507e-11,-3.40E-12
0.017000000000000008,0.5141570552417475,0.3460535066428791,0.25373742652605735,1.588245524777235e-14,-0.17658,9.82586830417663e-15,9.542169919303389e-11,-9.81,1.0913025790992022e-11,0,0,1,1.0119218399306402e-16,1.1383601005626586e-15,1.6870930287186333e-15,-9.31E-11,-4.93E-11,-1.00E-12,-3.67E-11
0.018,0.5141570552417475,0.34586711664287895,0.25373742652605735,1.1550407000182132e-14,-0.18639,2.23344514980033e-14,-4.33E-12,-9.81,1.2508583193826669e-11,0,0,1,5.3219432131867855e-17,1.1045350177700528e-15,1.4299977039236458e-15,-4.19E-12,-4.67E-12,-3.45E-12,-9.34E-13
0.019,0.5141570552417476,0.3456709166428792,0.2537374265260574,9.14833909263515e-14,-0.1962,4.034721376626214e-14,7.993298392616937e-11,-9.81,1.801276226825884e-11,0,0,1,5.624333008497997e-17,1.024906426768505e-15,1.767824858317801e-15,2.8659695628924457e-11,-4.30E-12,-6.66E-13,-2.83E-11
