t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor,servFRTor,servRRTor,servFLTor,servRLTor
0.028000000000000018,0.19888004642432167,0.22253369698702294,-1.450344309055125e-05,1.3667170666822227e-14,-0.28449000000000263,8.462892556391898e-15,1.8862729041056565e-11,-9.810000000000652,2.209882696969475e-11,0.0,0.0,1.0,-7.995314170979935e-16,1.214613524477156e-15,-3.0932372376642284e-16,5.514504621045906e-12,1.6301693231380117e-12,-3.0632328329689797e-12,-9.294455374755668e-12,6.433586235351985e-12,-7.173805655732677e-12,-3.88916933177847e-12,-1.809937209435896e-11
0.02900000000000002,0.19888004642432167,0.22223939698702294,-1.4503443090549155e-05,-1.1048171653723793e-14,-0.294300000000005,2.0933931527924506e-15,-2.471534232054602e-11,-9.810000000002372,-6.3694994035994465e-12,0.0,0.0,1.0,-7.9380485003137e-16,1.1919762077478997e-15,-3.2372653944059365e-16,2.397847407921425e-12,-1.0132316004526984e-11,7.219144416715074e-12,8.953793223595113e-12,-1.49989141966555e-11,2.9584976021648365e-12,1.7526699618474776e-11,9.346967099791193e-12
0.03000000000000002,0.19888004642432167,0.22193528698702294,-1.4503443090557402e-05,-5.7599026998916735e-15,-0.3041100000000062,-8.247106091389228e-15,5.28826895383212e-12,-9.810000000001207,-1.0340499244181678e-11,0.0,0.0,1.0,-7.839790002152573e-16,1.2362867784317343e-15,-3.2972886412902434e-16,-3.1814268541020887e-12,9.177700232847552e-12,-1.0318917964289343e-11,-3.336821640756152e-12,-9.65634051795149e-13,8.367753256509223e-13,-1.7225410127279022e-12,2.3174508646784565e-13
0.03100000000000002,0.19888004642432167,0.22162136698702295,-1.4503443090560555e-05,6.0248117160561805e-15,-0.31392000000000686,-3.1525930748919356e-15,1.1784714415947853e-11,-9.810000000000652,5.094513016497292e-12,0.0,0.0,1.0,-7.966155704257357e-16,1.2091030818426946e-15,-3.4567120846279353e-16,-2.338737714218818e-12,7.406069474448583e-12,1.09560024441108e-11,-5.031610356890269e-12,-3.455314498721096e-12,7.220291484858142e-13,-1.5676999891696323e-11,-1.519386413797853e-11
0.03200000000000002,0.19888004642432167,0.22129763698702296,-1.4503443090551156e-05,1.0720256751786193e-14,-0.32372999999999447,9.397909724513345e-15,4.695445035730012e-12,-9.809999999987607,1.255050279940528e-11,0.0,0.0,1.0,-7.983236519264486e-16,1.1820652412487019e-15,-3.157594715085487e-16,1.3385349434694624e-12,-1.4599602793492244e-11,-1.3147539746373468e-11,-1.3356582977776828e-12,4.721940684545829e-12,7.267671648183634e-12,-2.263934713288303e-12,1.51020276522692e-11
0.03300000000000002,0.19888004642432167,0.22096409698702296,-1.450344309053332e-05,1.2411325718825875e-16,-0.3335400000000019,1.783755409205736e-14,-1.0596143494597935e-11,-9.810000000007424,8.439644367544013e-12,0.0,0.0,1.0,-7.84508617254586e-16,1.2062680925237868e-15,-3.1793135793620224e-16,-2.111031417550345e-12,2.1647418662489507e-12,8.811827383971117e-12,1.3258887637756049e-11,8.395297587910057e-12,-1.3794332073881409e-11,4.53079554012187e-12,-1.4550173329345667e-12
0.03400000000000002,0.19888004642432167,0.22062074698702294,-1.4503443090533575e-05,-9.474857769994728e-15,-0.3433500000000099,-2.556718785348637e-16,-9.598971027182985e-12,-9.810000000008035,-1.8093225970592224e-11,0.0,0.0,1.0,-7.956433942488746e-16,1.1890962266842232e-15,-3.357990534896277e-16,3.701768668805541e-12,6.427388044985344e-12,-3.2940108845112088e-12,-9.741509142202935e-12,-9.661982027654902e-12,4.269379219140584e-12,1.9651645827728394e-11,8.913520681297472e-13
0.035000000000000024,0.1988800464243217,0.22026758698702295,-1.4503443090541486e-05,1.9444559676900647e-14,-0.3531599999999874,-7.91169793743559e-15,2.891941744689537e-11,-9.809999999977448,-7.656026058900726e-12,0.0,0.0,1.0,-8.016996235855121e-16,1.2339963727187916e-15,-3.1201762749016776e-16,-4.350626850750321e-12,-5.1090012781258534e-12,-1.0545407525922838e-12,-3.871056935861561e-12,4.914146189846793e-12,-2.379785162531561e-12,-1.1085106617779527e-11,-1.463853556335915e-11
0.036000000000000025,0.19888004642432167,0.21990461698702293,-1.4503443090559508e-05,-1.432863082045785e-14,-0.3629700000000133,-1.8020954330853893e-14,-3.3773190497358496e-11,-9.810000000025909,-1.0109256393418303e-11,0.0,0.0,1.0,-7.84337928724331e-16,1.2332695487641844e-15,-3.2812389918204944e-16,5.523682011048028e-12,-4.24916747668714e-12,6.525139984012758e-12,8.948155979193234e-12,1.7494745794242404e-12,-7.037970153815727e-12,-7.85484592888166e-12,1.2302006074717028e-11
0.037000000000000026,0.19888004642432167,0.21953183698702294,-1.4503443090535874e-05,-2.0001796514995912e-16,-0.3727799999999954,2.3634211352079516e-14,1.4128612855307892e-11,-9.80999999998211,4.165516568293341e-11,0.0,0.0,1.0,-7.753966882019821e-16,1.1705152829477304e-15,-3.400204920330761e-16,2.2378717677752403e-13,6.375609888281447e-12,-3.5700075641738075e-12,-4.671869338315585e-12,-1.8277727846255876e-11,2.0873415533752008e-11,2.549264091865278e-11,-1.0081457177524718e-11
