t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.010000000000000002,0.5141570552417476,0.3470835566428791,0.25373742652605735,-8.209021276058914e-15,-0.10791000000001728,6.9615986328852245e-15,-5.19447766090686e-11,-9.810000000045061,2.5104029878479432e-11,0.0,0.0,1.0,5.836044381832668e-17,1.1654564989630156e-15,1.608854192472053e-15,-1.9526835292321167e-10,-1.4064569393132398e-11,1.3361992487059618e-10,-8.208446330263775e-11
0.011000000000000003,0.5141570552417476,0.34696583664287906,0.25373742652605735,-1.932266387737604e-14,-0.11772000000002125,1.4722106054782798e-14,-1.1113642601317127e-11,-9.810000000003969,7.760507421897574e-12,0.0,0.0,1.0,4.362479021212662e-17,1.108787439369613e-15,1.5934604917476213e-15,1.7820490864145535e-11,-3.5695357922309147e-12,-7.595593650168955e-14,1.3204812273950194e-12
0.012000000000000004,0.5141570552417475,0.34683830664287907,0.25373742652605735,-8.398073786928305e-14,-0.12752999999996498,2.1981359910932813e-15,-6.4658073991907e-11,-9.809999999943726,-1.2523970063689516e-11,0.0,0.0,1.0,4.6696797614150974e-17,9.554165959465028e-16,1.6060733342980135e-15,3.1198540807152136e-10,-1.207759074042342e-12,-2.192846022133538e-10,4.4991998431188226e-11
0.013000000000000005,0.5141570552417475,0.3467009666428791,0.25373742652605735,3.8372216457355095e-14,-0.13733999999996155,1.8062785809396227e-14,1.2235295432663812e-10,-9.809999999996572,1.5864649818302948e-11,0.0,0.0,1.0,3.845351798183148e-17,1.1688519080153972e-15,1.6167176365960147e-15,-2.223026146755277e-10,-1.1372586920892707e-12,9.801751435739592e-11,-2.2933988703171944e-11
0.014000000000000005,0.5141570552417475,0.3465538166428791,0.25373742652605735,2.9732704490905367e-14,-0.147150000000008,1.504426436806669e-14,-8.639511966449729e-12,-9.810000000046449,-3.0185214413295372e-12,0.0,0.0,1.0,4.1372996478589985e-17,1.0601185538587624e-15,1.4554698875526426e-15,1.1662149567333696e-11,1.8227080647700325e-12,5.543921820552061e-11,4.206338731025181e-11
0.015000000000000006,0.5141570552417476,0.3463968566428791,0.25373742652605735,8.423468136345708e-14,-0.15695999999999735,-7.073309482431549e-15,5.450197687255171e-11,-9.809999999989355,-2.2117573850498238e-11,0.0,0.0,1.0,2.735630532585476e-17,1.159061985136163e-15,1.6432417060033892e-15,-3.0890082754770034e-11,3.020093566203499e-13,-4.720312352926227e-11,8.695311945960688e-12
0.016000000000000007,0.5141570552417475,0.34623008664287913,0.25373742652605735,-7.953924394526154e-14,-0.16677000000000375,-1.0871574868153912e-15,-1.6377392530871862e-10,-9.810000000006397,5.986151995616158e-12,0.0,0.0,1.0,5.2278798142893655e-17,1.1552468183763383e-15,1.7302893593085513e-15,1.1063219800512587e-10,3.132914688505629e-11,2.4790703504203507e-11,-3.4013701417647548e-12
0.017000000000000008,0.5141570552417475,0.3460535066428791,0.25373742652605735,1.588245524777235e-14,-0.17658000000002735,9.82586830417663e-15,9.542169919303389e-11,-9.810000000023605,1.0913025790992022e-11,0.0,0.0,1.0,1.0119218399306402e-16,1.1383601005626586e-15,1.6870930287186333e-15,-9.307749881850262e-11,-4.930613461657987e-11,-1.0026375373605202e-12,-3.6655088891129966e-11
0.01800000000000001,0.5141570552417475,0.34586711664287895,0.25373742652605735,1.1550407000182132e-14,-0.18639000000014225,2.23344514980033e-14,-4.332048247590219e-12,-9.810000000114893,1.2508583193826669e-11,0.0,0.0,1.0,5.3219432131867855e-17,1.1045350177700528e-15,1.4299977039236458e-15,-4.194086982949943e-12,-4.6710336543561914e-12,-3.452670052254663e-12,-9.336392400576812e-13
0.01900000000000001,0.5141570552417476,0.3456709166428792,0.2537374265260574,9.14833909263515e-14,-0.1961999999997687,4.034721376626214e-14,7.993298392616937e-11,-9.80999999962645,1.801276226825884e-11,0.0,0.0,1.0,5.624333008497997e-17,1.024906426768505e-15,1.767824858317801e-15,2.8659695628924457e-11,-4.304255111834843e-12,-6.660829774979333e-13,-2.8262286012003472e-11
