t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set
0.0,0.5141570552417475,0.3477212066428791,0.25373742652605735,-1.4717071405566048e-12,-0.009809999998882143,-3.3055675405404972e-12,-1.4717071405566048e-09,-9.809999998882143,-3.305567540540497e-09,0.0,0.0
0.001,0.5141570552417474,0.3477015866428791,0.25373742652605735,-1.2474622733578386e-13,-0.019620000000001383,2.9350925900356814e-15,1.3469609132208209e-09,-9.810000001119239,3.308502633130533e-09,0.0,0.0
0.002,0.5141570552417475,0.34767215664287915,0.25373742652605735,1.5458467468638938e-13,-0.02942999999995711,1.7201309257261882e-14,2.7933090202217327e-10,-9.809999999955725,1.4266216667226201e-11,0.0,0.0
0.003,0.5141570552417476,0.34763291664287915,0.2537374265260574,5.890944514339073e-14,-0.039240000000012876,4.355905675005161e-14,-9.567522954299865e-11,-9.810000000055767,2.6357747492789727e-11,0.0,0.0
0.004,0.5141570552417476,0.34758386664287916,0.2537374265260574,-2.8040819171988133e-14,-0.04905000000000417,-1.2302096452070092e-14,-8.695026431537887e-11,-9.809999999991291,-5.58611532021217e-11,0.0,0.0
0.005,0.5141570552417475,0.3475250066428791,0.2537374265260574,-1.1118451023730061e-13,-0.0588600000000342,5.662302886943655e-15,-8.314369106531248e-11,-9.810000000030032,1.7964399339013746e-11,0.0,0.0
0.006,0.5141570552417474,0.34745633664287906,0.2537374265260574,-9.469463116561164e-14,-0.06867000000002241,-4.738022977394279e-17,1.648987907168897e-11,-9.80999999998821,-5.709683116717597e-12,0.0,0.0
0.007,0.5141570552417475,0.3473778566428791,0.2537374265260574,1.0310967904185141e-13,-0.07847999999991483,-9.392848683371411e-15,1.9780431020746307e-10,-9.809999999892419,-9.345468453597468e-12,0.0,0.0
0.008,0.5141570552417476,0.34728956664287913,0.25373742652605735,6.147737932377739e-14,-0.08828999999997895,-3.932374353623174e-14,-4.163229971807402e-11,-9.810000000064129,-2.9930894852860324e-11,0.0,0.0
0.009000000000000001,0.5141570552417476,0.34719146664287914,0.25373742652605735,4.3735755333009685e-14,-0.09809999999997222,-1.8142431245594207e-14,-1.7741623990767703e-11,-9.809999999993268,2.1181312290637533e-11,0.0,0.0
